keyword,growthRate,timeline.label,timeline.value,timeline.time
audi,6.150065492,"Jul 19, 2020",89,1595116800
audi,6.150065492,"Jul 26, 2020",87,1595721600
audi,6.150065492,"Aug 2, 2020",86,1596326400
audi,6.150065492,"Aug 9, 2020",86,1596931200
audi,6.150065492,"Aug 16, 2020",89,1597536000
audi,6.150065492,"Aug 23, 2020",86,1598140800
audi,6.150065492,"Aug 30, 2020",81,1598745600
audi,6.150065492,"Sep 6, 2020",85,1599350400
audi,6.150065492,"Sep 13, 2020",81,1599955200
audi,6.150065492,"Sep 20, 2020",86,1600560000
audi,6.150065492,"Sep 27, 2020",84,1601164800
audi,6.150065492,"Oct 4, 2020",84,1601769600
audi,6.150065492,"Oct 11, 2020",81,1602374400
audi,6.150065492,"Oct 18, 2020",73,1602979200
audi,6.150065492,"Oct 25, 2020",71,1603584000
audi,6.150065492,"Nov 1, 2020",70,1604188800
audi,6.150065492,"Nov 8, 2020",80,1604793600
audi,6.150065492,"Nov 15, 2020",76,1605398400
audi,6.150065492,"Nov 22, 2020",73,1606003200
audi,6.150065492,"Nov 29, 2020",74,1606608000
audi,6.150065492,"Dec 6, 2020",80,1607212800
audi,6.150065492,"Dec 13, 2020",77,1607817600
audi,6.150065492,"Dec 20, 2020",92,1608422400
audi,6.150065492,"Dec 27, 2020",95,1609027200
audi,6.150065492,"Jan 3, 2021",98,1609632000
audi,6.150065492,"Jan 10, 2021",92,1610236800
audi,6.150065492,"Jan 17, 2021",87,1610841600
audi,6.150065492,"Jan 24, 2021",85,1611446400
audi,6.150065492,"Jan 31, 2021",85,1612051200
audi,6.150065492,"Feb 7, 2021",83,1612656000
audi,6.150065492,"Feb 14, 2021",86,1613260800
audi,6.150065492,"Feb 21, 2021",92,1613865600
audi,6.150065492,"Feb 28, 2021",84,1614470400
audi,6.150065492,"Mar 7, 2021",81,1615075200
audi,6.150065492,"Mar 14, 2021",84,1615680000
audi,6.150065492,"Mar 21, 2021",83,1616284800
audi,6.150065492,"Mar 28, 2021",85,1616889600
audi,6.150065492,"Apr 4, 2021",87,1617494400
audi,6.150065492,"Apr 11, 2021",85,1618099200
audi,6.150065492,"Apr 18, 2021",82,1618704000
audi,6.150065492,"Apr 25, 2021",79,1619308800
audi,6.150065492,"May 2, 2021",79,1619913600
audi,6.150065492,"May 9, 2021",82,1620518400
audi,6.150065492,"May 16, 2021",83,1621123200
audi,6.150065492,"May 23, 2021",88,1621728000
audi,6.150065492,"May 30, 2021",89,1622332800
audi,6.150065492,"Jun 6, 2021",84,1622937600
audi,6.150065492,"Jun 13, 2021",77,1623542400
audi,6.150065492,"Jun 20, 2021",77,1624147200
audi,6.150065492,"Jun 27, 2021",81,1624752000
audi,6.150065492,"Jul 4, 2021",93,1625356800
audi,6.150065492,"Jul 11, 2021",84,1625961600
audi,6.150065492,"Jul 18, 2021",91,1626566400
audi,6.150065492,"Jul 25, 2021",89,1627171200
audi,6.150065492,"Aug 1, 2021",88,1627776000
audi,6.150065492,"Aug 8, 2021",87,1628380800
audi,6.150065492,"Aug 15, 2021",84,1628985600
audi,6.150065492,"Aug 22, 2021",88,1629590400
audi,6.150065492,"Aug 29, 2021",81,1630195200
audi,6.150065492,"Sep 5, 2021",76,1630800000
audi,6.150065492,"Sep 12, 2021",74,1631404800
audi,6.150065492,"Sep 19, 2021",76,1632009600
audi,6.150065492,"Sep 26, 2021",75,1632614400
audi,6.150065492,"Oct 3, 2021",75,1633219200
audi,6.150065492,"Oct 10, 2021",75,1633824000
audi,6.150065492,"Oct 17, 2021",73,1634428800
audi,6.150065492,"Oct 24, 2021",78,1635033600
audi,6.150065492,"Oct 31, 2021",80,1635638400
audi,6.150065492,"Nov 7, 2021",79,1636243200
audi,6.150065492,"Nov 14, 2021",75,1636848000
audi,6.150065492,"Nov 21, 2021",68,1637452800
audi,6.150065492,"Nov 28, 2021",67,1638057600
audi,6.150065492,"Dec 5, 2021",68,1638662400
audi,6.150065492,"Dec 12, 2021",73,1639267200
audi,6.150065492,"Dec 19, 2021",76,1639872000
audi,6.150065492,"Dec 26, 2021",81,1640476800
audi,6.150065492,"Jan 2, 2022",84,1641081600
audi,6.150065492,"Jan 9, 2022",82,1641686400
audi,6.150065492,"Jan 16, 2022",79,1642291200
audi,6.150065492,"Jan 23, 2022",75,1642896000
audi,6.150065492,"Jan 30, 2022",76,1643500800
audi,6.150065492,"Feb 6, 2022",79,1644105600
audi,6.150065492,"Feb 13, 2022",82,1644710400
audi,6.150065492,"Feb 20, 2022",71,1645315200
audi,6.150065492,"Feb 27, 2022",70,1645920000
audi,6.150065492,"Mar 6, 2022",76,1646524800
audi,6.150065492,"Mar 13, 2022",77,1647129600
audi,6.150065492,"Mar 20, 2022",76,1647734400
audi,6.150065492,"Mar 27, 2022",78,1648339200
audi,6.150065492,"Apr 3, 2022",76,1648944000
audi,6.150065492,"Apr 10, 2022",85,1649548800
audi,6.150065492,"Apr 17, 2022",88,1650153600
audi,6.150065492,"Apr 24, 2022",78,1650758400
audi,6.150065492,"May 1, 2022",80,1651363200
audi,6.150065492,"May 8, 2022",73,1651968000
audi,6.150065492,"May 15, 2022",73,1652572800
audi,6.150065492,"May 22, 2022",74,1653177600
audi,6.150065492,"May 29, 2022",74,1653782400
audi,6.150065492,"Jun 5, 2022",80,1654387200
audi,6.150065492,"Jun 12, 2022",70,1654992000
